agent,lang,task,rep,stratum,label,accepted_round,draft0_ok,py_compile_draft0,unresolved_draft0,rounds_run
author-compact,py,s5-stats,2,S5,6,0,True,True,False,1
author-compact,py,s5-stats,3,S5,6,0,True,True,False,1
author-compact,py,s5-triangle,1,S5,6,0,True,True,False,1
author-compact,py,s5-triangle,2,S5,6,0,True,True,False,1
author-compact,py,s5-triangle,3,S5,6,0,True,True,False,1
author-compact,py,s5-payroll,1,S5,6,0,True,True,False,1
author-compact,py,s5-payroll,2,S5,6,0,True,True,False,1
author-compact,py,s5-payroll,3,S5,6,0,True,True,False,1
author-compact,py,s5-points,1,S5,6,0,True,True,False,1
author-compact,py,s5-points,2,S5,6,0,True,True,False,1
author-compact,py,s5-points,3,S5,6,0,True,True,False,1
author-compact,py,s6-add-case,1,S6,6,0,True,True,False,1
author-compact,py,s6-add-case,2,S6,6,0,True,True,False,1
author-compact,py,s6-add-case,3,S6,6,0,True,True,False,1
author-compact,py,s6-guard,1,S6,6,0,True,True,False,1
author-compact,py,s6-guard,2,S6,6,0,True,True,False,1
author-compact,py,s6-guard,3,S6,6,0,True,True,False,1
author-compact,py,s6-inclusive,1,S6,6,0,True,True,False,1
author-compact,py,s6-inclusive,2,S6,6,0,True,True,False,1
author-compact,py,s6-inclusive,3,S6,6,0,True,True,False,1
author-compact,py,s6-field,1,S6,6,0,True,True,False,1
author-compact,py,s6-field,2,S6,6,0,True,True,False,1
author-compact,py,s6-field,3,S6,6,0,True,True,False,1
